date,y,sa,t,s,i
2015-01-01,120.0,122.00305199142758,122.03768190211862,-2.0030519914275877,-0.034629910691037935
2015-02-01,124.25,122.25117081989008,122.26259283512175,1.99882918010992,-0.0114220152316733
2015-03-01,127.5,122.50010505546389,122.50226161397715,4.999894944536111,-0.0021565585132634624
2015-04-01,125.75,122.74925564392117,122.74856061630996,3.000744356078827,0.0006950276112149822
2015-05-01,123.0,122.9992790364187,122.99820242450053,0.00072096358130652,0.0010766119181653266
2015-06-01,120.25,123.24959454103563,123.24920781579635,-2.9995945410356413,0.00038672523928084956
2015-07-01,118.5,123.4997013889188,123.49961835011268,-4.999701388918797,8.303880611038039e-05
2015-08-01,119.75,123.74971688802148,123.74970912341557,-3.999716888021484,7.76460591112027e-06
2015-09-01,123.0,123.99968386491494,123.99966139454357,-0.9996838649149437,2.247037137692587e-05
2015-10-01,125.25,124.24962755603539,124.24957254977424,1.000372443964609,5.500626114951501e-05
2015-11-01,128.5,124.49958518463558,124.4996493349393,4.000414815364424,-6.415030372863839e-05
2015-12-01,124.75,124.74957347698208,124.7499466180545,0.00042652301792066956,-0.0003731410724157058
2016-01-01,123.0,125.0026845041279,125.0002689392835,-2.0026845041279007,0.002415564844397977
2016-02-01,127.25,125.25102405522152,125.25035174067163,1.9989759447784734,0.0006723145498881422
2016-03-01,130.5,125.50008131743749,125.50011384252403,4.999918682562512,-3.25250865387261e-05
2016-04-01,128.75,125.7493291935357,125.74972680712393,3.0006708064642966,-0.0003976135882339804
2016-05-01,126.0,125.99934846905872,125.99947450959435,0.0006515309412865896,-0.00012604053563336493
2016-06-01,123.25,126.24962679027958,126.24950857527439,-2.9996267902795757,0.00011821500518749417
2016-07-01,121.5,126.49976506700682,126.49969430422715,-4.999765067006813,7.076277967144051e-05
2016-08-01,122.75,126.74982558615008,126.74980827584432,-3.999825586150077,1.7310305764794975e-05
2016-09-01,126.0,126.999819117091,126.99974064660057,-0.9998191170909918,7.847049042197796e-05
2016-10-01,128.25,127.24977147179153,127.24972625123326,1.0002285282084664,4.522055827749227e-05
2016-11-01,131.5,127.4997269061379,127.49994371345262,4.000273093862106,-0.00021680731472883963
2016-12-01,127.75,127.74971242303404,127.75032569352435,0.0002875769659582694,-0.00061327049030524
2017-01-01,126.0,128.00175535743736,128.00061028467377,-2.0017553574373714,0.0011450727635917701
2017-02-01,130.25,128.25059206658565,128.25057015502497,1.9994079334143324,2.191156067965494e-05
2017-03-01,133.5,128.50002836314795,128.5002177188682,4.999971636852055,-0.00018935572026634873
2017-04-01,131.75,128.7495798228221,128.74980352793986,3.0004201771778733,-0.00022370511774738588
2017-05-01,129.0,128.9995957771127,128.99961333651305,0.0004042228873234318,-1.755940036218817e-05
2017-06-01,126.25,129.24976761571912,129.24970316068772,-2.99976761571913,6.44550314063963e-05
2017-07-01,124.5,129.4998702314809,129.49982801860023,-4.9998702314809185,4.2212880686065546e-05
2017-08-01,125.75,129.7499266424543,129.7499075535765,-3.9999266424543145,1.908887782064994e-05
2017-09-01,129.0,129.9999216797533,129.9998775395701,-0.999921679753301,4.41401832063093e-05
2017-10-01,131.25,130.24988855523833,130.24987246729432,1.0001114447616648,1.6087944004539168e-05
2017-11-01,134.5,130.4998634441778,130.49998690246247,4.000136555822201,-0.0001234582846620924
2017-12-01,130.75,130.74986258965967,130.7501819008748,0.00013741034033279973,-0.00031931121512229765
2018-01-01,129.0,131.0008797306844,131.00032104703337,-2.0008797306844115,0.0005586836510360627
2018-02-01,133.25,131.25025641497282,131.25029094006985,1.9997435850271872,-3.4525097021287365e-05
2018-03-01,136.5,131.49999913618151,131.50010421179752,5.000000863818492,-0.00010507561600547888
2018-04-01,134.75,131.74979469894444,131.74989395327523,3.000205301055572,-9.925433079160939e-05
2018-05-01,132.0,131.99980415769824,131.99980667026134,0.00019584230176177274,-2.512563099799081e-06
2018-06-01,129.25,132.24988842602855,132.2498650228395,-2.999888426028555,2.340318906135508e-05
2018-07-01,127.5,132.49995497039143,132.49993681728188,-4.999954970391422,1.8153109550667068e-05
2018-08-01,128.75,132.75000355230807,132.7499868286359,-4.000003552308062,1.6723672160878778e-05
2018-09-01,132.0,133.00000451176544,132.99999308030257,-1.000004511765445,1.1431462866084985e-05
2018-10-01,134.25,133.24998637535262,133.24999241037028,1.000013624647388,-6.035017662497921e-06
2018-11-01,137.5,133.4999756248016,133.50000652628995,4.000024375198383,-3.09014883441705e-05
2018-12-01,133.75,133.74998158034361,133.75002950084126,1.8419656381159685e-05,-4.7920497650011384e-05
2019-01-01,132.0,134.00016612656924,134.00004153643448,-2.000166126569253,0.000124590134760183
2019-02-01,136.25,134.24998453276626,134.25002864132097,2.000015467233725,-4.4108554703825575e-05
2019-03-01,139.5,134.4999761169226,134.49999786176218,5.000023883077392,-2.1744839585835507e-05
2019-04-01,137.75,134.74997015445427,134.74997222483086,3.000029845545734,-2.070376581286837e-06
2019-05-01,135.0,134.99997471058145,134.99997101255272,2.528941853350656e-05,3.6980287347887497e-06
2019-06-01,132.25,135.24998723253543,135.24998905425196,-2.9999872325354424,-1.8217165234091226e-06
2019-07-01,130.5,135.50000335588547,135.4999999334399,-5.000003355885461,3.4224455589537683e-06
2019-08-01,131.75,135.75001269058995,135.75000455548349,-4.000012690589942,8.135106469353559e-06
2019-09-01,135.0,136.00000207625786,136.00000187808175,-1.000002076257867,1.9817611018879688e-07
2019-10-01,137.25,136.24999224613774,136.2499982679768,1.0000077538622718,-6.021839055847522e-06
2019-11-01,140.5,136.49999388788677,136.49999972195363,4.000006112113215,-5.834066854504272e-06
2019-12-01,136.75,136.7500046442135,136.75000613935035,-4.644213498135782e-06,-1.495136842777356e-06
2020-01-01,135.0,137.00002231906296,137.00001119093398,-2.00002231906295,1.1128128988957542e-05
2020-02-01,139.25,137.25001003695664,137.25000869177106,1.9999899630433617,1.3451855807034008e-06
2020-03-01,142.5,137.49999887662432,137.4999996715148,5.000001123375684,-7.948904681143176e-07
2020-04-01,140.75,137.7499868103861,137.74999077837097,3.0000131896139015,-3.967984866903862e-06
2020-05-01,138.0,137.9999847308743,137.9999888579479,1.5269125706115123e-05,-4.127073594872854e-06
2020-06-01,135.25,138.24999499562378,138.24999527945548,-2.9999949956237897,-2.838316959241638e-07
2020-07-01,133.5,138.50000500437622,138.5000047205445,-5.000005004376208,2.838317243458732e-07
2020-08-01,134.75,138.7500152691257,138.75001114205207,-4.000015269125691,4.127073623294564e-06
2020-09-01,138.0,139.0000131896139,139.00000922162897,-1.000013189613901,3.967984923747281e-06
2020-10-01,140.25,139.25000112337568,139.25000032848519,0.9999988766243151,7.948904965360271e-07
