date,seasonally_adjusted
2015-01-01,122.00000000000031
2015-02-01,122.2500000000004
2015-03-01,122.50000000000041
2015-04-01,122.75000000000034
2015-05-01,123.00000000000038
2015-06-01,123.2500000000005
2015-07-01,123.5000000000005
2015-08-01,123.7500000000005
2015-09-01,124.00000000000041
2015-10-01,124.2500000000004
2015-11-01,124.50000000000048
2015-12-01,124.75000000000041
2016-01-01,125.00000000000031
2016-02-01,125.25000000000043
2016-03-01,125.50000000000043
2016-04-01,125.75000000000037
2016-05-01,126.0000000000004
2016-06-01,126.2500000000005
2016-07-01,126.50000000000053
2016-08-01,126.7500000000005
2016-09-01,127.00000000000043
2016-10-01,127.2500000000004
2016-11-01,127.5000000000005
2016-12-01,127.75000000000041
2017-01-01,128.0000000000003
2017-02-01,128.25000000000043
2017-03-01,128.50000000000045
2017-04-01,128.75000000000037
2017-05-01,129.0000000000004
2017-06-01,129.2500000000005
2017-07-01,129.5000000000005
2017-08-01,129.7500000000005
2017-09-01,130.00000000000043
2017-10-01,130.2500000000004
2017-11-01,130.5000000000005
2017-12-01,130.75000000000043
2018-01-01,131.00000000000034
2018-02-01,131.25000000000045
2018-03-01,131.50000000000045
2018-04-01,131.7500000000004
2018-05-01,132.00000000000043
2018-06-01,132.2500000000005
2018-07-01,132.50000000000054
2018-08-01,132.75000000000054
2018-09-01,133.00000000000045
2018-10-01,133.25000000000043
2018-11-01,133.5000000000005
2018-12-01,133.75000000000043
2019-01-01,134.00000000000034
2019-02-01,134.25000000000045
2019-03-01,134.50000000000045
2019-04-01,134.7500000000004
2019-05-01,135.00000000000043
2019-06-01,135.25000000000054
2019-07-01,135.50000000000054
2019-08-01,135.75000000000054
2019-09-01,136.00000000000045
2019-10-01,136.25000000000043
2019-11-01,136.5000000000005
2019-12-01,136.75000000000045
2020-01-01,137.00000000000037
2020-02-01,137.25000000000045
2020-03-01,137.50000000000048
2020-04-01,137.75000000000043
2020-05-01,138.00000000000043
2020-06-01,138.25000000000054
2020-07-01,138.50000000000057
2020-08-01,138.75000000000054
2020-09-01,139.00000000000045
2020-10-01,139.25000000000045
2020-11-01,139.50000000000054
2020-12-01,139.75000000000045
2021-01-01,140.00000000000037
2021-02-01,140.25000000000048
2021-03-01,140.50000000000048
2021-04-01,140.7500000000004
2021-05-01,141.00000000000045
2021-06-01,141.25000000000057
2021-07-01,141.50000000000057
2021-08-01,141.75000000000057
2021-09-01,142.00000000000048
2021-10-01,142.25000000000043
2021-11-01,142.50000000000054
2021-12-01,142.75000000000048
2022-01-01,143.00000000000037
2022-02-01,143.25000000000048
2022-03-01,143.5000000000005
2022-04-01,143.75000000000043
2022-05-01,144.00000000000045
2022-06-01,144.25000000000057
2022-07-01,144.50000000000057
2022-08-01,144.75000000000057
2022-09-01,145.00000000000048
2022-10-01,145.25000000000045
2022-11-01,145.50000000000057
2022-12-01,145.75000000000048
2023-01-01,146.0000000000004
2023-02-01,146.25000000000048
2023-03-01,146.50000000000048
2023-04-01,146.75000000000043
2023-05-01,147.00000000000045
2023-06-01,147.25000000000057
2023-07-01,147.5000000000006
2023-08-01,147.75000000000057
2023-09-01,148.00000000000048
2023-10-01,148.25000000000048
2023-11-01,148.50000000000057
2023-12-01,148.7500000000005
2024-01-01,149.0000000000004
2024-02-01,149.2500000000005
2024-03-01,149.5000000000005
2024-04-01,149.75000000000045
2024-05-01,150.00000000000048
2024-06-01,150.25000000000057
2024-07-01,150.5000000000006
2024-08-01,150.7500000000006
2024-09-01,151.0000000000005
2024-10-01,151.25000000000048
2024-11-01,151.5000000000006
2024-12-01,151.75000000000048
2025-01-01,152.0000000000004
2025-02-01,152.2500000000005
2025-03-01,152.5000000000005
2025-04-01,152.75000000000045
2025-05-01,153.00000000000048
2025-06-01,153.2500000000006
2025-07-01,153.5000000000006
2025-08-01,153.75000000000057
2025-09-01,154.0000000000005
2025-10-01,154.25000000000048
2025-11-01,154.5000000000006
2025-12-01,154.75000000000048
