,x13,x13,x13,x13,x13,tramoseats,tramoseats,tramoseats,tramoseats,tramoseats,difference,difference,difference,difference,difference
component,y,sa,t,s,i,y,sa,t,s,i,y,sa,t,s,i
date,,,,,,,,,,,,,,,
2010-01-01,111.81457786987849,118.39908327951218,119.13841530010427,-6.584505409633685,-0.7393320205920872,111.81457786987849,118.63016254302786,119.75255128060373,-6.8155846731493686,-1.1223887375758608,0.0,-0.23107926351568153,-0.6141359804994551,0.2310792635156833,0.3830567169837735
2010-02-01,117.03917557247287,120.2717484498591,119.55218229214739,-3.232572877386235,0.7195661577117107,117.03917557247287,120.75924439330079,120.03615946764032,-3.720068820827924,0.7230849256604728,0.0,-0.48749594344168656,-0.4839771754929245,0.4874959434416888,-0.003518767948762047
2010-03-01,118.96134653987319,120.06930433185202,119.94265946888842,-1.107957791978836,0.12664486296360167,118.96134653987319,120.50021078303148,120.30760833904782,-1.5388642431582906,0.19260244398365955,0.0,-0.43090645117945314,-0.36494887015939526,0.4309064511794547,-0.06595758102005789
2010-04-01,121.78440995746743,119.71138631306286,120.3668381372246,2.073023644404565,-0.6554518241617444,121.78440995746743,119.43826306674988,120.58375850954731,2.346146890717545,-1.1454954427974258,0.0,0.27312324631297713,-0.21692037232270422,-0.27312324631298024,0.49004361863568136
2010-05-01,127.02087187830787,121.14062757158021,120.78727042153614,5.880244306727665,0.35335715004407575,127.02087187830787,121.82970062727621,120.90401848321432,5.191171251031663,0.925682144061895,0.0,-0.6890730556959994,-0.11674806167818019,0.6890730556960021,-0.5723249940178192
2010-06-01,128.08178941735858,120.87220756108805,121.17970444996902,7.209581856270537,-0.30749688888097637,128.08178941735858,120.49517523002692,121.23012894867134,7.586614187331669,-0.7349537186444195,0.0,0.3770323310611303,-0.0504244987023128,-0.3770323310611321,0.4274568297634431
2010-07-01,130.7858664652614,122.48980817265188,121.54759532442081,8.296058292609516,0.9422128482310654,130.7858664652614,122.33031693975924,121.54992276979283,8.45554952550215,0.7803941699664136,0.0,0.15949123289263412,-0.002327445372017678,-0.15949123289263412,0.1618186782646518
2010-08-01,125.70460175827459,121.03494551938883,121.95739312226937,4.669656238885764,-0.9224476028805384,125.70460175827459,120.59220852916313,121.89096908336572,5.112393229111455,-1.2987605542025875,0.0,0.442736990225697,0.0664240389036479,-0.4427369902256908,0.3763129513220491
2010-09-01,123.92531152891931,123.96777961134288,122.4175289232648,-0.04246808242357369,1.55025068807808,123.92531152891931,123.14202970985588,122.2730126616959,0.7832818190634296,0.869017048159975,0.0,0.8257499014870007,0.14451626156889574,-0.8257499014870033,0.6812336399181049
2010-10-01,119.58953246254414,121.56240413910821,122.87461152763291,-1.9728716765640688,-1.3122073885246976,119.58953246254414,121.61512748022801,122.69012388073938,-2.0255950176838735,-1.0749964005113668,0.0,-0.05272334111980115,0.1844876468935297,0.0527233411198047,-0.23721098801333085
2010-11-01,117.52433846274928,123.26334786040931,123.3489395346449,-5.7390093976600225,-0.08559167423558733,117.52433846274928,123.16093787683894,123.15993504055318,-5.636599414089659,0.0010028362857639195,0.0,0.10240998357036801,0.18900449409171927,-0.10240998357036357,-0.08659451052135125
2010-12-01,114.64085204690552,124.04451521112495,123.78790310919115,-9.403663164219418,0.256612101933797,114.64085204690552,124.38073183106623,123.63660401309804,-9.739879784160712,0.7441278179681916,0.0,-0.3362166199412826,0.15129909609311198,0.33621661994129326,-0.4875157160343946
2011-01-01,118.05392396969437,124.6807973688971,124.12647156622864,-6.62687339920274,0.5543258026684583,118.05392396969437,124.86671566936052,124.01564312195595,-6.812791699666152,0.85107254740457,0.0,-0.1859183004634133,0.11082844427269833,0.1859183004634124,-0.2967467447361116
