date,y,ycal,sa,t,s,i
2015-01-01,120.0,120.0,122.00000000000031,122.00000000000068,-2.000000000000308,-3.694822225952521e-13
2015-02-01,124.25,124.25,122.2500000000004,122.25000000000063,1.9999999999995994,-2.2737367544323206e-13
2015-03-01,127.5,127.5,122.50000000000041,122.50000000000068,4.99999999999959,-2.7000623958883807e-13
2015-04-01,125.75,125.75,122.75000000000034,122.75000000000064,2.99999999999966,-2.984279490192421e-13
2015-05-01,123.0,123.0,123.00000000000038,123.00000000000071,-3.8546943414985435e-13,-3.268496584496461e-13
2015-06-01,120.25,120.25,123.2500000000005,123.25000000000065,-3.000000000000493,-1.5631940186722204e-13
2015-07-01,118.5,118.5,123.5000000000005,123.50000000000068,-5.000000000000504,-1.8474111129762605e-13
2015-08-01,119.75,119.75,123.7500000000005,123.75000000000067,-4.000000000000492,-1.7053025658242404e-13
2015-09-01,123.0,123.0,124.00000000000041,124.0000000000007,-1.0000000000004103,-2.8421709430404007e-13
2015-10-01,125.25,125.25,124.2500000000004,124.25000000000065,0.9999999999996092,-2.5579538487363607e-13
2015-11-01,128.5,128.5,124.50000000000048,124.5000000000007,3.9999999999995177,-2.1316282072803006e-13
2015-12-01,124.75,124.75,124.75000000000041,124.75000000000068,-4.085620730620576e-13,-2.7000623958883807e-13
2016-01-01,123.0,123.0,125.00000000000031,125.00000000000071,-2.0000000000003144,-3.979039320256561e-13
2016-02-01,127.25,127.25,125.25000000000043,125.25000000000068,1.9999999999995763,-2.5579538487363607e-13
2016-03-01,130.5,130.5,125.50000000000043,125.50000000000068,4.99999999999957,-2.5579538487363607e-13
2016-04-01,128.75,128.75,125.75000000000037,125.75000000000068,2.9999999999996367,-3.126388037344441e-13
2016-05-01,126.0,126.0,126.0000000000004,126.00000000000068,-3.9612757518625585e-13,-2.8421709430404007e-13
2016-06-01,123.25,123.25,126.2500000000005,126.25000000000068,-3.0000000000004947,-1.8474111129762605e-13
2016-07-01,121.5,121.5,126.50000000000053,126.50000000000074,-5.000000000000525,-2.1316282072803006e-13
2016-08-01,122.75,122.75,126.7500000000005,126.75000000000068,-4.000000000000496,-1.8474111129762605e-13
2016-09-01,126.0,126.0,127.00000000000043,127.00000000000068,-1.0000000000004228,-2.5579538487363607e-13
2016-10-01,128.25,128.25,127.2500000000004,127.25000000000068,0.9999999999996003,-2.8421709430404007e-13
2016-11-01,131.5,131.5,127.5000000000005,127.50000000000072,3.9999999999995044,-2.2737367544323206e-13
2016-12-01,127.75,127.75,127.75000000000041,127.75000000000068,-4.1655567883935873e-13,-2.7000623958883807e-13
2017-01-01,126.0,126.0,128.0000000000003,128.0000000000007,-2.000000000000324,-3.979039320256561e-13
2017-02-01,130.25,130.25,128.25000000000043,128.2500000000007,1.999999999999563,-2.8421709430404007e-13
2017-03-01,133.5,133.5,128.50000000000045,128.50000000000068,4.99999999999954,-2.2737367544323206e-13
2017-04-01,131.75,131.75,128.75000000000037,128.75000000000074,2.9999999999996225,-3.694822225952521e-13
2017-05-01,129.0,129.0,129.0000000000004,129.00000000000074,-4.0234482412415673e-13,-3.410605131648481e-13
2017-06-01,126.25,126.25,129.2500000000005,129.25000000000068,-3.0000000000005054,-1.7053025658242404e-13
2017-07-01,124.5,124.5,129.5000000000005,129.50000000000074,-5.000000000000523,-2.2737367544323206e-13
2017-08-01,125.75,125.75,129.7500000000005,129.7500000000007,-4.000000000000509,-1.9895196601282805e-13
2017-09-01,129.0,129.0,130.00000000000043,130.0000000000007,-1.0000000000004245,-2.8421709430404007e-13
2017-10-01,131.25,131.25,130.2500000000004,130.2500000000007,0.9999999999996003,-3.126388037344441e-13
2017-11-01,134.5,134.5,130.5000000000005,130.50000000000074,3.9999999999994857,-2.2737367544323206e-13
2017-12-01,130.75,130.75,130.75000000000043,130.7500000000007,-4.2454928461665986e-13,-2.8421709430404007e-13
2018-01-01,129.0,129.0,131.00000000000034,131.0000000000007,-2.0000000000003304,-3.694822225952521e-13
2018-02-01,133.25,133.25,131.25000000000045,131.2500000000007,1.9999999999995497,-2.5579538487363607e-13
2018-03-01,136.5,136.5,131.50000000000045,131.50000000000074,4.9999999999995435,-2.8421709430404007e-13
2018-04-01,134.75,134.75,131.7500000000004,131.75000000000068,2.999999999999612,-2.8421709430404007e-13
2018-05-01,132.0,132.0,132.00000000000043,132.00000000000074,-4.192202140984591e-13,-3.126388037344441e-13
2018-06-01,129.25,129.25,132.2500000000005,132.25000000000074,-3.0000000000005116,-2.2737367544323206e-13
2018-07-01,127.5,127.5,132.50000000000054,132.50000000000074,-5.000000000000537,-1.9895196601282805e-13
2018-08-01,128.75,128.75,132.75000000000054,132.75000000000074,-4.000000000000544,-1.9895196601282805e-13
2018-09-01,132.0,132.0,133.00000000000045,133.00000000000074,-1.0000000000004476,-2.8421709430404007e-13
2018-10-01,134.25,134.25,133.25000000000043,133.25000000000074,0.999999999999579,-3.126388037344441e-13
2018-11-01,137.5,137.5,133.5000000000005,133.50000000000074,3.9999999999994893,-2.2737367544323206e-13
2018-12-01,133.75,133.75,133.75000000000043,133.75000000000074,-4.3787196091216174e-13,-3.126388037344441e-13
2019-01-01,132.0,132.0,134.00000000000034,134.00000000000074,-2.0000000000003544,-3.979039320256561e-13
2019-02-01,136.25,136.25,134.25000000000045,134.25000000000074,1.9999999999995426,-2.8421709430404007e-13
2019-03-01,139.5,139.5,134.50000000000045,134.50000000000074,4.999999999999538,-2.8421709430404007e-13
2019-04-01,137.75,137.75,134.7500000000004,134.75000000000074,2.9999999999996128,-3.410605131648481e-13
2019-05-01,135.0,135.0,135.00000000000043,135.00000000000074,-4.334310688136611e-13,-3.126388037344441e-13
2019-06-01,132.25,132.25,135.25000000000054,135.25000000000074,-3.000000000000532,-1.9895196601282805e-13
2019-07-01,130.5,130.5,135.50000000000054,135.50000000000074,-5.000000000000534,-1.9895196601282805e-13
2019-08-01,131.75,131.75,135.75000000000054,135.75000000000074,-4.000000000000546,-1.9895196601282805e-13
2019-09-01,135.0,135.0,136.00000000000045,136.00000000000074,-1.0000000000004645,-2.8421709430404007e-13
2019-10-01,137.25,137.25,136.25000000000043,136.25000000000074,0.9999999999995808,-3.126388037344441e-13
2019-11-01,140.5,140.5,136.5000000000005,136.5000000000008,3.999999999999477,-2.8421709430404007e-13
2019-12-01,136.75,136.75,136.75000000000045,136.75000000000074,-4.511946372076636e-13,-2.8421709430404007e-13
2020-01-01,135.0,135.0,137.00000000000037,137.0000000000008,-2.0000000000003686,-4.263256414560601e-13
2020-02-01,139.25,139.25,137.25000000000045,137.25000000000074,1.9999999999995373,-2.8421709430404007e-13
2020-03-01,142.5,142.5,137.50000000000048,137.50000000000074,4.999999999999519,-2.5579538487363607e-13
2020-04-01,140.75,140.75,137.75000000000043,137.75000000000074,2.999999999999585,-3.126388037344441e-13
2020-05-01,138.0,138.0,138.00000000000043,138.00000000000082,-4.3520742565306136e-13,-3.979039320256561e-13
2020-06-01,135.25,135.25,138.25000000000054,138.25000000000074,-3.000000000000532,-1.9895196601282805e-13
2020-07-01,133.5,133.5,138.50000000000057,138.5000000000008,-5.00000000000056,-2.2737367544323206e-13
2020-08-01,134.75,134.75,138.75000000000054,138.75000000000074,-4.000000000000549,-1.9895196601282805e-13
2020-09-01,138.0,138.0,139.00000000000045,139.00000000000077,-1.00000000000046,-3.126388037344441e-13
2020-10-01,140.25,140.25,139.25000000000045,139.2500000000008,0.9999999999995595,-3.410605131648481e-13
2020-11-01,143.5,143.5,139.50000000000054,139.5000000000008,3.9999999999994698,-2.5579538487363607e-13
2020-12-01,139.75,139.75,139.75000000000045,139.75000000000074,-4.689582056016661e-13,-2.8421709430404007e-13
2021-01-01,138.0,138.0,140.00000000000037,140.0000000000008,-2.0000000000003677,-4.263256414560601e-13
2021-02-01,142.25,142.25,140.25000000000048,140.2500000000008,1.9999999999995195,-3.126388037344441e-13
2021-03-01,145.5,145.5,140.50000000000048,140.50000000000074,4.999999999999504,-2.5579538487363607e-13
2021-04-01,143.75,143.75,140.7500000000004,140.75000000000077,2.999999999999593,-3.694822225952521e-13
2021-05-01,141.0,141.0,141.00000000000045,141.00000000000077,-4.4586556668946287e-13,-3.126388037344441e-13
2021-06-01,138.25,138.25,141.25000000000057,141.25000000000077,-3.000000000000555,-1.9895196601282805e-13
2021-07-01,136.5,136.5,141.50000000000057,141.5000000000008,-5.000000000000578,-2.2737367544323206e-13
2021-08-01,137.75,137.75,141.75000000000057,141.7500000000008,-4.000000000000559,-2.2737367544323206e-13
2021-09-01,141.0,141.0,142.00000000000048,142.0000000000008,-1.0000000000004707,-3.126388037344441e-13
2021-10-01,143.25,143.25,142.25000000000043,142.25000000000077,0.9999999999995648,-3.410605131648481e-13
2021-11-01,146.5,146.5,142.50000000000054,142.5000000000008,3.99999999999946,-2.5579538487363607e-13
2021-12-01,142.75,142.75,142.75000000000048,142.75000000000077,-4.742872761198669e-13,-2.8421709430404007e-13
2022-01-01,141.0,141.0,143.00000000000037,143.0000000000008,-2.000000000000381,-4.263256414560601e-13
2022-02-01,145.25,145.25,143.25000000000048,143.25000000000077,1.9999999999995213,-2.8421709430404007e-13
2022-03-01,148.5,148.5,143.5000000000005,143.5000000000008,4.999999999999499,-2.8421709430404007e-13
2022-04-01,146.75,146.75,143.75000000000043,143.75000000000077,2.999999999999587,-3.410605131648481e-13
2022-05-01,144.0,144.0,144.00000000000045,144.0000000000008,-4.5208281562736374e-13,-3.410605131648481e-13
2022-06-01,141.25,141.25,144.25000000000057,144.2500000000008,-3.0000000000005764,-2.2737367544323206e-13
2022-07-01,139.5,139.5,144.50000000000057,144.5000000000008,-5.000000000000573,-2.2737367544323206e-13
