date,y_f,ycal_f,sa_f,t_f,s_f,i_f
2025-01-01,150.0,150.0,152.0000000000004,152.00000000000074,-2.0000000000003926,-3.410605131648481e-13
2025-02-01,154.25,154.25,152.2500000000005,152.2500000000008,1.9999999999994875,-2.8421709430404007e-13
2025-03-01,157.5,157.5,152.5000000000005,152.50000000000074,4.999999999999478,-2.2737367544323206e-13
2025-04-01,155.75,155.75,152.75000000000045,152.7500000000008,2.9999999999995435,-3.410605131648481e-13
2025-05-01,153.0,153.0,153.00000000000048,153.0000000000008,-4.813927034774679e-13,-3.126388037344441e-13
2025-06-01,150.25,150.25,153.2500000000006,153.2500000000008,-3.0000000000005915,-1.9895196601282805e-13
2025-07-01,148.5,148.5,153.5000000000006,153.5000000000008,-5.000000000000596,-1.9895196601282805e-13
2025-08-01,149.75,149.75,153.75000000000057,153.7500000000008,-4.00000000000058,-2.2737367544323206e-13
2025-09-01,153.0,153.0,154.0000000000005,154.00000000000077,-1.0000000000005054,-2.5579538487363607e-13
2025-10-01,155.25,155.25,154.25000000000048,154.2500000000008,0.9999999999995177,-3.126388037344441e-13
2025-11-01,158.5,158.5,154.5000000000006,154.50000000000077,3.9999999999994102,-1.7053025658242404e-13
2025-12-01,154.75,154.75,154.75000000000048,154.7500000000008,-4.89386309254769e-13,-3.126388037344441e-13
