quarter,y,ycal,sa,t,s,i
2005-01-01,95.2887467219271,95.2887467219271,99.2348731958672,99.90060072198139,-3.9461264739400965,-0.6657275261141962
2005-04-01,102.99028671454795,102.99028671454795,101.04251780743068,100.42035937277444,1.947768907117259,0.6221584346562423
2005-07-01,105.70906179514627,105.70906179514627,100.88095039165323,100.90224955675328,4.828111403493042,-0.02129916510004648
2005-10-01,97.96576908576206,97.96576908576206,100.79590534508625,101.38582407356725,-2.8301362593241945,-0.5899187284809955
2006-01-01,98.66664664425511,98.66664664425511,102.61152745900755,101.91269969963346,-3.944880814752441,0.6988277593740833
2006-04-01,103.85710601943967,103.85710601943967,101.91055490442932,102.41924123581941,1.946551115010358,-0.5086863313900949
2006-07-01,108.22720327925738,108.22720327925738,103.39932318987255,102.90320315266888,4.827880089384828,0.49612003720366715
2006-10-01,99.91874087463812,99.91874087463812,102.74777794501668,103.41996301566306,-2.8290370703785626,-0.6721850706463783
2007-01-01,100.5830935402379,100.5830935402379,104.52819516517363,104.02718242420308,-3.9451016249357274,0.5010127409705518
2007-04-01,106.10426154080086,106.10426154080086,104.15789118972255,104.73021301960053,1.9463703510783097,-0.5723218298779784
2007-07-01,110.5776712469551,110.5776712469551,105.75130667926382,105.50058691518244,4.826364567691293,0.2507197640813814
2007-10-01,103.54929142483948,103.54929142483948,106.37573888595097,106.22043072958513,-2.826447461111485,0.15530815636583384
2008-01-01,103.0874493006749,103.0874493006749,107.0341498590703,106.76319108785142,-3.946700558395393,0.27095877121887213
2008-04-01,109.00695071548233,109.00695071548233,107.05936903922093,107.13542757740949,1.9475816762614016,-0.0760585381885619
2008-07-01,112.30148186691503,112.30148186691503,107.47721747886958,107.4184918662379,4.8242643880454485,0.05872561263167597
2008-10-01,104.86326098952891,104.86326098952891,107.68716648417343,107.66379220853628,-2.823905494644523,0.023374275637152664
2009-01-01,103.95999167463995,103.95999167463995,107.9088019856338,107.90151635548004,-3.9488103109938435,0.007285630153759826
2009-04-01,110.02580278625096,110.02580278625096,108.07645384987482,108.18980097096119,1.9493489363761345,-0.11334712108636325
2009-07-01,113.0027980197986,113.0027980197986,108.18061926865192,108.57122813089816,4.8221787511466765,-0.39060886224623914
2009-10-01,106.9647444944057,106.9647444944057,109.78641664155526,108.95253446285722,-2.821672147149562,0.8338821786980475
2010-01-01,104.72275342458059,104.72275342458059,108.67364089489583,109.22412476489265,-3.950887470315232,-0.5504838699968246
2010-04-01,111.80699894114697,111.80699894114697,109.85568146008404,109.46249647070857,1.9513174810629272,0.3931849893754702
2010-07-01,113.99015000309348,113.99015000309348,109.1690501406243,109.80630566263048,4.821099862469184,-0.6372555220061855
2010-10-01,107.55769106288325,107.55769106288325,110.37908189278055,110.3021579597274,-2.8213908298973003,0.07692393305315193
2011-01-01,107.21579101599279,107.21579101599279,111.1677684013831,110.80427278994227,-3.951977385390303,0.36349561144082543
2011-04-01,113.2801572463687,113.2801572463687,111.32770610801737,111.17029727343476,1.952451138351338,0.15740883458261123
2011-07-01,115.83809850198027,115.83809850198027,111.01641525234481,111.4680683752934,4.82168324963546,-0.45165312294858495
2011-10-01,109.11577581787479,109.11577581787479,111.93740232262519,111.76132531052659,-2.8216265047504,0.17607701209860238
2012-01-01,108.71462152131791,108.71462152131791,112.66856217927831,111.92605273660492,-3.9539406579603993,0.7425094426733949
2012-04-01,113.275747980905,113.275747980905,111.32227860524479,111.91478580088878,1.9534693756602093,-0.5925071956439893
2012-07-01,116.83173812042295,116.83173812042295,112.00812571272931,111.91762775212396,4.823612407693645,0.09049796060534732
2012-10-01,109.14430802064454,109.14430802064454,111.96631502679348,112.1091574318746,-2.822007006148937,-0.1428424050811259
2013-01-01,107.82058185327007,107.82058185327007,111.77804404380448,112.57938082944554,-3.957462190534412,-0.8013367856410554
2013-04-01,115.81360994606752,115.81360994606752,113.85822761747445,113.2287024146113,1.9553823285930592,0.6295252028631495
2013-07-01,118.89930178271037,118.89930178271037,114.07404892161885,113.74182299364256,4.825252861091509,0.332225927976296
2013-10-01,111.16574158157644,111.16574158157644,113.98794076791428,113.9723912217936,-2.8221991863378446,0.015549546120681157
2014-01-01,110.24793332828644,110.24793332828644,114.20744986195227,114.05061752894355,-3.9595165336658305,0.15683233300872246
2014-04-01,115.45395421153064,115.45395421153064,113.49775023831381,114.16348881443858,1.9562039732168328,-0.6657385761247667
2014-07-01,119.7263919303304,119.7263919303304,114.90036525922027,114.34394205306853,4.826026671110132,0.5564232061517345
2014-10-01,111.88429351033064,111.88429351033064,114.70653899483702,114.48765215572172,-2.8222454845063885,0.21888683911529938
2015-01-01,109.73172995045753,109.73172995045753,113.69293475865214,114.68115691225964,-3.961204808194603,-0.9882221536074951
2015-04-01,117.52489771707138,117.52489771707138,115.56666654292059,115.04858624396009,1.9582311741507996,0.5180802989604985
2015-07-01,120.21927822834851,120.21927822834851,115.39394396637907,115.46489190723307,4.825334261969448,-0.07094794085399769
2015-10-01,113.2026445779595,113.2026445779595,116.02559292176937,115.81431712350928,-2.8229483438098697,0.2112757982600897
2016-01-01,111.86811026145442,111.86811026145442,115.82884829746395,116.14126241967077,-3.960738036009529,-0.3124141222068175
2016-04-01,118.47652720901104,118.47652720901104,116.51729090808556,116.50969939232036,1.9592363009254832,0.007591515765199119
2016-07-01,121.99846041994583,121.99846041994583,117.173981251858,116.87630884805816,4.824479168087837,0.2976724037998366
2016-10-01,114.31805127455466,114.31805127455466,117.14222639617081,117.21768168187845,-2.824175121616152,-0.07545528570763338
2017-01-01,113.03289331206305,113.03289331206305,116.99201924117794,117.64916838585337,-3.9591259291148884,-0.6571491446754294
2017-04-01,120.72934156285548,120.72934156285548,118.76942739760678,118.19725612916133,1.9599141652487073,0.5721712684454445
2017-07-01,123.58063892774334,123.58063892774334,118.75775183799652,118.72440271212942,4.822887089746816,0.03334912586710459
2017-10-01,115.91555419262394,115.91555419262394,118.74081023054994,119.18839619038386,-2.825256037925997,-0.4475859598339156
2018-01-01,116.4153036349866,116.4153036349866,120.37152447120951,119.58921030052736,-3.9562208362229168,0.7823141706821559
2018-04-01,121.47019566449285,121.47019566449285,119.5107052928098,119.90265133656703,1.9594903716830487,-0.39194604375722975
2018-07-01,124.87793531242312,124.87793531242312,120.0567506949802,120.2275806230107,4.82118461744293,-0.1708299280304999
2018-10-01,118.04285515056522,118.04285515056522,120.86822281138022,120.63734372423482,-2.825367660815007,0.2308790871453965
2019-01-01,116.89258055704182,116.89258055704182,120.8472712981584,121.11640282350156,-3.9546907411165835,-0.26913152534315543
2019-04-01,123.48631828530498,123.48631828530498,121.52653965481267,121.65748154185812,1.9597786304923077,-0.13094188704545218
2019-07-01,127.62770807721729,127.62770807721729,122.80805548192893,122.22088556473047,4.819652595288367,0.5871699171984659
2019-10-01,119.10666001288394,119.10666001288394,121.93233616836338,122.82865197053454,-2.825676155479435,-0.8963158021711592
2020-01-01,119.9025006590466,119.9025006590466,123.85554390506208,123.52283774853194,-3.953043246015488,0.33270615653013635
2020-04-01,126.6048762742248,126.6048762742248,124.64472676966909,124.15271153614343,1.9601495045556954,0.4920152335256631
2020-07-01,129.30216427271773,129.30216427271773,124.48519889276147,124.62326766407651,4.816965379956253,-0.1380687713150337
2020-10-01,121.7969943598465,121.7969943598465,124.62094333185256,125.07503241964027,-2.8239489720060615,-0.4540890877877075
2021-01-01,122.09483191106722,122.09483191106722,126.04699832147469,125.59361816623652,-3.9521664104074676,0.45338015523816466
2021-04-01,127.99462593136727,127.99462593136727,126.03505893770965,126.15227005999554,1.9595669936576172,-0.11721112228589448
2021-07-01,131.11365871723015,131.11365871723015,126.29907406897766,126.8117496969116,4.814584648252488,-0.5126756279339446
2021-10-01,124.85384998582988,124.85384998582988,127.67495693466152,127.57351564193684,-2.8211069488316456,0.1014412927246866
2022-01-01,125.24230348019827,125.24230348019827,129.19494203748417,128.212887330804,-3.9526385572858826,0.9820547066801737
2022-04-01,129.98673105375096,129.98673105375096,128.02748268340204,128.6329692469047,1.959248370348926,-0.6054865635026658
2022-07-01,133.6179442396033,133.6179442396033,128.80452644448434,129.03320402415338,4.813417795118966,-0.22867757966903923
2022-10-01,127.25053745244465,127.25053745244465,130.06899368605866,129.4952378544981,-2.818456233614004,0.5737558315605611
2023-01-01,125.52685142957547,125.52685142957547,129.48205290119756,129.95348223148955,-3.955201471622104,-0.47142933029198275
2023-04-01,132.55792602943833,132.55792602943833,130.597628845682,130.4088008279062,1.960297183756319,0.18882801777581903
2023-07-01,135.69586165006294,135.69586165006294,130.88285562138498,130.83889179091778,4.813006028677972,0.043963830467191656
2023-10-01,128.6057199882577,128.6057199882577,131.4227470218455,131.22138379516747,-2.8170270335878063,0.20136322667804052
2024-01-01,127.10542015047737,127.10542015047737,131.06231512556963,131.6346604720369,-3.956894975092257,-0.572345346467273
2024-04-01,134.44772679400523,134.44772679400523,132.4867678915149,132.1529354015109,1.9609589024903564,0.3338324900039993
2024-07-01,137.30766883865073,137.30766883865073,132.49505431281838,132.7230105687509,4.812614525832336,-0.22795625593252566
2024-10-01,130.73962501544423,130.73962501544423,133.55594150241748,133.26017233273012,-2.816316486973239,0.295769169687361
