date,final.y_f,preprocessing.ycal_f,final.sa_f,final.t_f,final.s_f,final.i_f
2025-01-01,150.0,150.0,152.00042652301792,152.00005338194552,-2.000426523017914,0.00037314107240149497
2025-02-01,154.25,154.25,152.25041481536445,152.2503506650607,1.9995851846355572,6.41503037570601e-05
2025-03-01,157.5,157.5,152.5003724439646,152.5004274502257,4.999627556035401,-5.500626107846074e-05
2025-04-01,155.75,155.75,152.75031613508506,152.75033860545636,2.999683864914938,-2.2470371305871595e-05
2025-05-01,153.0,153.0,153.0002831119785,153.00029087658436,-0.00028311197850012794,-7.764605868487706e-06
2025-06-01,150.25,150.25,153.25029861108118,153.25038164988726,-3.0002986110811807,-8.303880608195868e-05
2025-07-01,148.5,148.5,153.50040545896434,153.5007921842036,-5.000405458964344,-0.00038672523925242785
2025-08-01,149.75,149.75,153.7507209635813,153.75179757549944,-4.0007209635812995,-0.001076611918136905
2025-09-01,153.0,153.0,154.00074435607883,154.00143938368998,-1.0007443560788276,-0.0006950276111581388
2025-10-01,155.25,155.25,154.2498949445361,154.2477383860228,1.000105055463892,0.002156558513291884
2025-11-01,158.5,158.5,154.49882918010994,154.48740716487822,4.001170819890074,0.011422015231715932
2025-12-01,154.75,154.75,154.74694800857247,154.71231809788137,0.003051991427533833,0.03462991069110899
